restaurant_id,dish_name,category,cuisine_type,description,price,tax_gst_%,food_type,spice_level,image_url,created_at
d638fe7074e004cbe8293709,Lemon Iced Tea,Main Course,Other,Main Course with Mild taste,144,18,Vegan,Mild,https://foodimages.com/food_0.jpg,01-10-2025
d638fe7074e004cbe8293709,Chicken Manchurian,Starter,Chinese,Starter with Mild taste,130,0,Non-Veg,Mild,https://foodimages.com/food_1.jpg,19-09-2025
d638fe7074e004cbe8293709,Cold Coffee,Beverage,Other,Beverage with Spicy taste,376,0,Jain,Spicy,https://foodimages.com/food_2.jpg,14-09-2025
d638fe7074e004cbe8293709,Brownie,Dessert,Other,Dessert with Medium taste,423,18,Veg,Medium,https://foodimages.com/food_3.jpg,02-07-2025
9bc75aff648e50ecb167cf64,Margherita Pizza,Main Course,Italian,Main Course with Mild taste,488,18,Veg,Mild,https://foodimages.com/food_4.jpg,27-09-2025
9bc75aff648e50ecb167cf64,Veg Hakka Noodles,Main Course,Chinese,Main Course with Spicy taste,200,0,Veg,Spicy,https://foodimages.com/food_5.jpg,30-09-2025
9bc75aff648e50ecb167cf64,Lemon Iced Tea,Beverage,Other,Beverage with Mild taste,405,18,Vegan,Mild,https://foodimages.com/food_6.jpg,30-11-2025
9bc75aff648e50ecb167cf64,Brownie,Dessert,Other,Dessert with Mild taste,489,12,Veg,Mild,https://foodimages.com/food_7.jpg,24-09-2025
d6eb6bdf0d48fbeecc73bda5,Lemon Iced Tea,Main Course,Other,Main Course with Medium taste,138,5,Vegan,Medium,https://foodimages.com/food_8.jpg,13-11-2025
d6eb6bdf0d48fbeecc73bda5,Spring Rolls,Starter,Chinese,Starter with Mild taste,229,5,Veg,Mild,https://foodimages.com/food_9.jpg,14-12-2025
d6eb6bdf0d48fbeecc73bda5,Gulab Jamun,Dessert,Indian,Dessert with Spicy taste,153,12,Veg,Spicy,https://foodimages.com/food_10.jpg,28-08-2025
d6eb6bdf0d48fbeecc73bda5,Cold Coffee,Beverage,Other,Beverage with Medium taste,407,0,Veg,Medium,https://foodimages.com/food_11.jpg,01-10-2025
491dc6ac06bbf0640c144d0e,Cold Coffee,Beverage,Other,Beverage with Spicy taste,451,18,Veg,Spicy,https://foodimages.com/food_12.jpg,23-10-2025
491dc6ac06bbf0640c144d0e,Chicken Biryani,Main Course,Indian,Main Course with Spicy taste,374,18,Non-Veg,Spicy,https://foodimages.com/food_13.jpg,02-08-2025
491dc6ac06bbf0640c144d0e,Spring Rolls,Starter,Chinese,Starter with Spicy taste,245,0,Veg,Spicy,https://foodimages.com/food_14.jpg,14-07-2025
491dc6ac06bbf0640c144d0e,Lemon Iced Tea,Dessert,Other,Dessert with Medium taste,328,5,Vegan,Medium,https://foodimages.com/food_15.jpg,11-12-2025
ca54f277f7fc376958799033,Paneer Butter Masala,Main Course,Indian,Main Course with Mild taste,253,0,Veg,Mild,https://foodimages.com/food_16.jpg,07-12-2025
ca54f277f7fc376958799033,Chicken Biryani,Main Course,Indian,Main Course with Spicy taste,205,18,Non-Veg,Spicy,https://foodimages.com/food_17.jpg,13-11-2025
ca54f277f7fc376958799033,Cold Coffee,Beverage,Other,Beverage with Mild taste,194,5,Veg,Mild,https://foodimages.com/food_18.jpg,18-07-2025
ca54f277f7fc376958799033,Spring Rolls,Starter,Chinese,Starter with Mild taste,254,0,Veg,Mild,https://foodimages.com/food_19.jpg,10-08-2025
a34b661444df6c04ca87d237,Chicken Manchurian,Starter,Chinese,Starter with Spicy taste,420,18,Non-Veg,Spicy,https://foodimages.com/food_20.jpg,11-07-2025
a34b661444df6c04ca87d237,Paneer Butter Masala,Main Course,Indian,Main Course with Mild taste,292,18,Veg,Mild,https://foodimages.com/food_21.jpg,22-07-2025
a34b661444df6c04ca87d237,Veg Hakka Noodles,Main Course,Chinese,Main Course with Medium taste,332,0,Veg,Medium,https://foodimages.com/food_22.jpg,22-09-2025
a34b661444df6c04ca87d237,Chicken Biryani,Main Course,Indian,Main Course with Medium taste,440,18,Non-Veg,Medium,https://foodimages.com/food_23.jpg,01-08-2025
be7de24f5ef7919ecb288aef,Gulab Jamun,Dessert,Indian,Dessert with Mild taste,469,12,Veg,Mild,https://foodimages.com/food_24.jpg,09-11-2025
be7de24f5ef7919ecb288aef,Cold Coffee,Beverage,Other,Beverage with Mild taste,138,0,Veg,Mild,https://foodimages.com/food_25.jpg,22-11-2025
be7de24f5ef7919ecb288aef,Chicken Biryani,Main Course,Indian,Main Course with Medium taste,238,0,Non-Veg,Medium,https://foodimages.com/food_26.jpg,09-11-2025
be7de24f5ef7919ecb288aef,Chicken Manchurian,Starter,Chinese,Starter with Mild taste,422,18,Non-Veg,Mild,https://foodimages.com/food_27.jpg,17-11-2025
fdb05463cc0d15d0e6ef0607,Lemon Iced Tea,Beverage,Other,Beverage with Mild taste,421,0,Jain,Mild,https://foodimages.com/food_28.jpg,07-10-2025
fdb05463cc0d15d0e6ef0607,Paneer Butter Masala,Main Course,Indian,Main Course with Mild taste,404,0,Veg,Mild,https://foodimages.com/food_29.jpg,10-11-2025
fdb05463cc0d15d0e6ef0607,Cold Coffee,Beverage,Other,Beverage with Mild taste,346,12,Jain,Mild,https://foodimages.com/food_30.jpg,07-11-2025
fdb05463cc0d15d0e6ef0607,Chicken Manchurian,Starter,Chinese,Starter with Spicy taste,331,5,Non-Veg,Spicy,https://foodimages.com/food_31.jpg,03-08-2025
492184d1b188e00bf6257964,Veg Hakka Noodles,Main Course,Chinese,Main Course with Mild taste,475,12,Veg,Mild,https://foodimages.com/food_32.jpg,18-12-2025
492184d1b188e00bf6257964,Cold Coffee,Beverage,Other,Beverage with Medium taste,308,18,Veg,Medium,https://foodimages.com/food_33.jpg,03-07-2025
492184d1b188e00bf6257964,Gulab Jamun,Dessert,Indian,Dessert with Spicy taste,440,12,Veg,Spicy,https://foodimages.com/food_34.jpg,01-10-2025
492184d1b188e00bf6257964,Chicken Manchurian,Starter,Chinese,Starter with Spicy taste,270,0,Non-Veg,Spicy,https://foodimages.com/food_35.jpg,24-12-2025
ec77be78914b1ec6fddaacbb,Gulab Jamun,Dessert,Indian,Dessert with Medium taste,342,5,Veg,Medium,https://foodimages.com/food_36.jpg,03-11-2025
